Workload|iterations|run-time|cpu-cycles|instructions|ref-cycles|page-faults|branches|branch-misses|LLC-load-misses|L1-dcache-load-misses|cache-misses
bf | 150 | 0.074441245 | 300310551 | 373613554 | 179621936 | 1708301 | 46584566 | 950678 | 99127 | 4171255 | 1708301
bf | 160 | 0.076565428 | 312116541 | 397915576 | 186765904 | 1651704 | 49573271 | 949862 | 92089 | 4371626 | 1651704
bf | 170 | 0.079730336 | 322395957 | 425774795 | 194369344 | 1559254 | 53292167 | 1059938 | 74330 | 4653393 | 1559254
bf | 180 | 0.080720021 | 326124417 | 451603492 | 196312064 | 967629 | 56599853 | 1123360 | 30900 | 4842430 | 967629
bf | 190 | 0.114840168 | 372117283 | 474451200 | 284018176 | 2226941 | 59341186 | 1126244 | 140215 | 5257816 | 2226941
bf | 200 | 0.099673419 | 403198991 | 498692523 | 242705320 | 2227288 | 62359202 | 1182658 | 133133 | 5533995 | 2227288
bf | 210 | 0.097761251 | 402719752 | 521421869 | 241244328 | 2006762 | 65001973 | 1312521 | 97921 | 5774116 | 2006762
bf | 220 | 0.097966368 | 402086856 | 546809855 | 240161584 | 1298971 | 68207569 | 1330057 | 36935 | 6056227 | 1298971
bf | 230 | 0.10554433 | 430919449 | 568578421 | 256639136 | 1715589 | 70674026 | 1381125 | 73595 | 6289807 | 1715589
bf | 240 | 0.110731506 | 456141298 | 602868791 | 274225432 | 2009086 | 75647986 | 1469009 | 84363 | 6658479 | 2009086
bf | 250 | 0.12239704 | 497074188 | 628630534 | 299599560 | 2763715 | 78865886 | 1540334 | 157302 | 6905949 | 2763715
bf | 260 | 0.132742062 | 542628576 | 651548151 | 328959696 | 3312306 | 81604773 | 1620950 | 212153 | 7300321 | 3312306
bf | 270 | 0.12542579 | 511207315 | 676943779 | 305920160 | 2200986 | 84846304 | 1649563 | 95201 | 7462928 | 2200986
bf | 280 | 0.133061533 | 546198311 | 701278198 | 328944928 | 2816507 | 87768469 | 1673286 | 145940 | 7793857 | 2816507
bf | 290 | 0.138084592 | 570622939 | 722089476 | 342532216 | 2834881 | 90103480 | 1941011 | 146271 | 8154051 | 2834881
bf | 300 | 0.157030636 | 625918368 | 745979288 | 385646976 | 3920339 | 93001532 | 2081705 | 284770 | 8585372 | 3920339
bf | 310 | 0.13821668 | 573270954 | 772276827 | 341552952 | 2027732 | 96357299 | 1814543 | 64962 | 8526515 | 2027732
bf | 320 | 0.139999673 | 580530724 | 792362927 | 344163872 | 1899405 | 98438961 | 1879486 | 75837 | 8669126 | 1899405
bf | 330 | 0.154396301 | 632156279 | 820999793 | 380704688 | 3033747 | 102319188 | 1922859 | 161661 | 9037990 | 3033747
bf | 340 | 0.161896026 | 667189175 | 850349071 | 400248160 | 3304203 | 106368505 | 1949443 | 169635 | 9409503 | 3304203
bf | 350 | 0.155937074 | 653297412 | 877406626 | 389927408 | 2435295 | 109932694 | 2037053 | 88676 | 9826976 | 2435295
bf | 360 | 0.169560583 | 693251051 | 894501952 | 416545168 | 3420593 | 111440144 | 2160074 | 173099 | 9942501 | 3420593
bf | 370 | 0.180091517 | 725613720 | 915568964 | 438526296 | 3614098 | 113736976 | 2194270 | 192362 | 10186725 | 3614098
bf | 380 | 0.178947142 | 725502264 | 948289185 | 437229208 | 3193238 | 118369061 | 2285728 | 169888 | 10410946 | 3193238
bf | 390 | 0.179719677 | 736372701 | 971421656 | 441615096 | 3186803 | 121065797 | 2244626 | 147329 | 10669700 | 3186803
bf | 400 | 0.179616794 | 749282219 | 988374265 | 444827032 | 2957454 | 122622943 | 2244682 | 121947 | 11107670 | 2957454
bf | 410 | 0.180704716 | 742465836 | 1029868945 | 438418968 | 1739799 | 129018577 | 2460445 | 44627 | 11048296 | 1739799
bf | 420 | 0.186012461 | 765438025 | 1047471368 | 454378808 | 2231316 | 130703672 | 2335782 | 73155 | 11295686 | 2231316
bf | 430 | 0.188879253 | 782544860 | 1064450123 | 463580000 | 2377351 | 132237486 | 2550271 | 75786 | 11789442 | 2377351
bf | 440 | 0.189309514 | 793914120 | 1097502281 | 471408600 | 1991099 | 137038318 | 2536087 | 55357 | 11953085 | 1991099
bf | 450 | 0.199048601 | 819861765 | 1114721222 | 484879408 | 2150673 | 138428378 | 2517701 | 64018 | 12052262 | 2150673
bf | 460 | 0.220743206 | 898768195 | 1148795097 | 540947680 | 3386682 | 143473295 | 2635274 | 173080 | 13017794 | 3386682
bf | 470 | 0.204975914 | 853447177 | 1171271439 | 505614096 | 2499185 | 146188280 | 2763419 | 70326 | 12783903 | 2499185
bf | 480 | 0.212479154 | 870256457 | 1201476635 | 514267520 | 2387929 | 150101466 | 2833358 | 72346 | 12888596 | 2387929
bf | 490 | 0.22274994 | 913448732 | 1212377443 | 542898304 | 2947420 | 150444798 | 2663745 | 103064 | 13512925 | 2947420
bf | 500 | 0.219447835 | 909762997 | 1247077354 | 538939544 | 2440785 | 155805389 | 3007130 | 70919 | 13529211 | 2440785
dfadd | 10 | 0.005153228 | 19995089 | 20732522 | 11822616 | 108173 | 4272756 | 94257 | 6049 | 322627 | 108173
dfadd | 20 | 0.009448385 | 37453782 | 38625392 | 22505912 | 237508 | 7991264 | 169567 | 11797 | 619638 | 237508
dfadd | 30 | 0.012592791 | 51217235 | 56477906 | 30707248 | 225310 | 11691728 | 231394 | 9008 | 887145 | 225310
dfadd | 40 | 0.01673418 | 65901758 | 75128466 | 41257008 | 229805 | 15524992 | 284155 | 8432 | 1164844 | 229805
dfadd | 50 | 0.019511138 | 80755884 | 93345456 | 48342528 | 262927 | 19330717 | 369615 | 8484 | 1421833 | 262927
dfadd | 60 | 0.023327587 | 97617492 | 110597114 | 58135480 | 311180 | 22942916 | 414050 | 10409 | 1718763 | 311180
dfadd | 70 | 0.027655419 | 113754802 | 127272329 | 67767960 | 393675 | 26408104 | 512554 | 11715 | 1997366 | 393675
dfadd | 80 | 0.031538501 | 129675802 | 146525488 | 79063920 | 377265 | 30333539 | 554892 | 11331 | 2294384 | 377265
dfadd | 90 | 0.035563285 | 146581502 | 163204823 | 88186072 | 479092 | 33826246 | 607139 | 13581 | 2583323 | 479092
dfadd | 100 | 0.057530144 | 170621885 | 179448504 | 138225880 | 898057 | 37265512 | 731892 | 42760 | 2924430 | 898057
dfadd | 110 | 0.044854895 | 178931135 | 199703189 | 108145440 | 667519 | 41471517 | 749192 | 27492 | 3183640 | 667519
dfadd | 120 | 0.052701647 | 194455650 | 216495764 | 118363752 | 656624 | 44921027 | 795896 | 19649 | 3439347 | 656624
dfadd | 130 | 0.053167459 | 209002887 | 234981276 | 124980960 | 581258 | 48789450 | 914329 | 16283 | 3706612 | 581258
dfadd | 140 | 0.055456474 | 226598826 | 252739131 | 137977424 | 708785 | 52428769 | 916142 | 20647 | 4011298 | 708785
dfadd | 150 | 0.057726804 | 241609700 | 269758760 | 145193152 | 693786 | 55953633 | 990043 | 22573 | 4327751 | 693786
dfadd | 160 | 0.065216423 | 261361829 | 290342215 | 159329040 | 949663 | 60295816 | 1094689 | 27384 | 4652392 | 949663
dfadd | 170 | 0.075488922 | 270502200 | 308755694 | 165696336 | 874572 | 64016219 | 1115763 | 26409 | 4892049 | 874572
dfadd | 180 | 0.086010833 | 290211895 | 326998242 | 176901712 | 935970 | 67841443 | 1188654 | 29770 | 5241475 | 935970
dfadd | 190 | 0.083560092 | 297905729 | 347169711 | 180294608 | 860367 | 71955489 | 1387039 | 24226 | 5412098 | 860367
dfadd | 200 | 0.095826513 | 323892229 | 366779641 | 196342536 | 988878 | 76028618 | 1327528 | 28685 | 5716394 | 988878
dfadd | 210 | 0.091786315 | 333495388 | 382797429 | 201519968 | 914933 | 79419177 | 1447763 | 27161 | 5985714 | 914933
dfadd | 220 | 0.103594708 | 376324354 | 392551181 | 232181664 | 1740219 | 81473369 | 1419825 | 73710 | 6407984 | 1740219
dfadd | 230 | 0.106987168 | 374557788 | 414558763 | 228311616 | 1295386 | 85911541 | 1489084 | 47615 | 6676610 | 1295386
dfadd | 240 | 0.109985813 | 392433632 | 434247539 | 241803224 | 1475733 | 90056946 | 1563262 | 54700 | 6845248 | 1475733
dfadd | 250 | 0.112607203 | 400603352 | 452353073 | 243281168 | 1263437 | 93805972 | 1640113 | 43601 | 7128892 | 1263437
dfadd | 260 | 0.116327597 | 417812796 | 471687494 | 254566520 | 1283025 | 97754341 | 1724286 | 37805 | 7507627 | 1283025
dfadd | 270 | 0.135560537 | 454645894 | 485796316 | 277568928 | 2001196 | 100830593 | 1794035 | 84241 | 7860459 | 2001196
dfadd | 280 | 0.131607618 | 451989223 | 508410185 | 273988000 | 1445564 | 105547452 | 1881219 | 40064 | 8032621 | 1445564
dfadd | 290 | 0.138311936 | 463711233 | 523371389 | 282643192 | 1329634 | 108582497 | 1877126 | 37829 | 8344349 | 1329634
dfadd | 300 | 0.149777236 | 477021353 | 544376415 | 293149584 | 1631554 | 112858950 | 2007482 | 54933 | 8472334 | 1631554
